,BrandName,ProductName,ProductPrice,ProductRating,ProductNoOfratings
59,Fastrack,Trendies Analog Black Dial Men's Watch NM38045PP03/NN38045PP03,"2,395",4.3 out of 5 stars,(2.7K)
60,Sonata,Sonata Poze 6 Chrome Calling Quartz Blue Round Dial Men's Watch | Cut foled/Sheet Strap Material | Watches for Men Analog - SP70078SM01,"1,196",3.8 out of 5 stars,(10)
61,Sonata,Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W,849,4.2 out of 5 stars,(2.1K)
62,Titan,"Titan Heritage 1.43"" AMOLED Stainless Steel Bracelet Smart Watch for Men, BT Calling, Voice Assistant, Quick Health Measurement, Functional Crown, 3D UI, 60Hz Display, Fast Charging (Blue)","12,495",3.8 out of 5 stars,(187)
63,Casio,MTP-VT01L-1B Men's Minimalistic Black Dial Black Leather Band Analog Watch,"3,295",4.3 out of 5 stars,(1.3K)
64,Redmi,"Redmi Watch 5 Lite, 1.96"" Amoled, Advanced in-Built GPS, 5 ATM, 18 Day Battery, Bluetooth Calling with AI Noise Reduction, Always on Display, Light Gold","3,499",4.0 out of 5 stars,(1.1K)
65,Fastrack,"Fastrack Limitless Valor Smart Watch with 1.91"" Ultra HD Display, Bluetooth Calling, SpO2, 100+ Sports Modes,Working Crown, Heart Rate & IP68 – Smartwatch for Man & Women Latest, 7-Day Battery (Black)","1,999",3.9 out of 5 stars,(4.2K)
66,TIMEX,Men's Expedition Metal Field 40mm Watch,"3,147.",4.2 out of 5 stars,(2.2K)
67,OnePlus,"OnePlus Watch 2 with Wear OS4,Snapdragon W5 Chipset,Upto 100 hrs Battery Life,1.43’’ AMOLED Display,Stainless Steel & Sapphire Crystal Build,Dual Frequency GPS,IP68 & Bluetooth Calling (Black Steel)","12,999",4.3 out of 5 stars,(521)
68,Carlington,"Digital Sports Watch, Dual Time, Alarm, Calendar, Stopwatch, Water-Resistant, Shock-Resistant, Back Light Display. The Perfect Watch for Men - CT 2106",999,4.0 out of 5 stars,(45)
69,Fossil,Fossil Analog Black Dial Men's Watch - FS5447,"7,995",4.2 out of 5 stars,(4.3K)
70,Fossil,Analog Black Dial Men's Watch-BQ2746,"9,096",5.0 out of 5 stars,(2)
71,Fossil,Nate Chronograph Analog Black Dial Grey Band Men's Watch,"15,995",4.0 out of 5 stars,(11.2K)
72,Fastrack,Fastrack Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,"1,595",4.1 out of 5 stars,(815)
73,Titan,Karishma Analog Multi-Colour Dial Men's Watch NM1639SM01/NN1639SM01,"1,993",4.4 out of 5 stars,(1.4K)
74,Titan,Neo Analog Blue Dial Men's Watch NM1734KM02/NN1734KM02/NP1734KM02,"7,468",4.3 out of 5 stars,(563)
75,Casio,G-Shock GA-2100-1A1DR Black Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G987,"8,534",4.3 out of 5 stars,(2.1K)
76,Fastrack,"Fastrack Limitless Glide X 1.83"" Smart Watch with Ultra UV HD Display, SpO2, Heart Rate & Sleep Tracking, Bluetooth Calling, 100+ Sports Modes, 5-Day Battery, Smartwatch for Men & Women (Wine Red)","1,499",4.0 out of 5 stars,(15K)
77,Diesel,"Mr. Daddy 2 Multicolor Quartz Stainless Steel Watch Dz7486, Chronograph, Men","40,995",3.1 out of 5 stars,(4)
78,Titan,Titan Neo Splash Sartorial Quartz Multifunction Blue Dial Blue Stainless Steel Strap Watch for Men - NT1805QM02,"7,468",4.4 out of 5 stars,(190)
79,boAt,"boAt Chrome Horizon, Video Watch Faces, 1.51” AMOLED Display, HRV & VO2 Max, Auto-Activity Detection, ASAP Charge, Advanced Bluetooth Calling, IP68, Heart Rate & SpO2 Monitor Smart Watch(Steel Black)","3,599",4.0 out of 5 stars,(334)
80,boAt,"boAt Wave Call Smart Watch w/Bluetooth Calling, 1.69"" (4.2 cm) HD Display w/ 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes,HR,SpO2, IP68(Bold Black)","1,349",3.9 out of 5 stars,(27.7K)
81,Casio,G-Shock GA-400GB-1A9DR Analog-Digital Gold Dial Men Watch Black Resin Strap (G651),"9,864.",4.4 out of 5 stars,(398)
82,Titan,Autumn-Winter 19 Analog Silver Dial Men's Watch NM1584SL03/NN1584SL03/NP1584SL03,"3,025",4.2 out of 5 stars,(3.9K)
83,Casio,G-Shock Casio GA-140-1A1DR Analog-Digital Black Dial Men Watch (G975),"8,995",4.5 out of 5 stars,(780)
84,Titan,Analog Gold Dial Men's Watch NM1648YM02/NN1648YM02/NP1648YM02,"1,995",4.2 out of 5 stars,(773)
85,Titan,Titan Maritime Quartz Chronograph With Date White Dial Green Leather Strap Watch for Men - NT1830KL01,"13,276",4.4 out of 5 stars,(361)
86,Seiko,Seiko Analog Stainless Steel Blue Dial Silver Band Men's Watch-SSK003K1,"40,500",4.5 out of 5 stars,(1.1K)
87,Fastrack,Ruffles Analog Beige Dial Women's Watch-6216QM01/NP6216QM01,"3,995",4.3 out of 5 stars,(556)
88,Fastrack,Fastrack Vyb 6.0 Nimbus Quartz Navy Blue Round Dial Men's Watch | Stainless Steel Strap Material Analog | Guys Analog Watches - FV30032KM01,"2,093",4.6 out of 5 stars,(3)
89,Titan,Titan Ceramic Fusion Automatic Black Dial Two Toned Rose Gold Steel & Black Ceramic Strap Watch for Men - NT90175KD03,"29,995",4.1 out of 5 stars,(29)
90,Titan,Autumn-Winter 19 Analog Blue Dial Men's Watch NM1698SM02/NN1698SM02,"5,745",4.3 out of 5 stars,(515)
91,Fossil,Analog Black Dial Men's Watch-FS5164,"8,247",4.3 out of 5 stars,(1.7K)
92,Fire-Boltt,"Fire-Boltt Brillia Smart Watch 2.02” AMOLED Display, Bluetooth Calling, SpO2, Heart Rate Monitor, 120+ Sports Modes, Fitness Tracker, Voice Assistant, Smart Watch for Man & Women– Black","1,999",3.8 out of 5 stars,(23.4K)
93,Fastrack,Fastrack Tick Tock Quartz Multifunction Black Dial Brown Leather Strap Watch for Guys – NT3287NL01,"3,995",4.4 out of 5 stars,(205)
94,Titan,Titan Opulent LII Quartz Multifunction Green Dial Rose Gold Stainless Steel Strap Watch for Men - NT90127YM05,"9,463",4.4 out of 5 stars,(86)
95,TIMEX,Analog Watch for Man with Round Dial & Water Resistant Men's Wrist Watches,"4,897.",4.2 out of 5 stars,(22)
96,Titan,Titan Classique Quartz Multifunction Black Dial Two Toned Black and Gold Stainless Steel Strap Watch for Men - NT1805KM03,"8,210",4.7 out of 5 stars,(31)
97,Titan,Neo Analog Silver Dial Men's Watch NN1733KM03/NP1733KM03,"7,355",4.2 out of 5 stars,(838)
98,Casio,Casio Enticer Men MTP-1302PD-4AVEF Analog Red Dial Men (A2367),"3,681",4.5 out of 5 stars,(10.1K)
99,Seiko,"Seiko Stainless Steel Analog Green Dial Men Watch-Srpd63K1, Bandcolor-Silver","27,000",4.5 out of 5 stars,(4.8K)
100,Fastrack,Fastrack Vyb 6.0 Maverick Quartz Brown Shaped Dial Men's Watch | Stainless Steel Strap Material Analog | Guys Analog Watches - FV30035QM02W,"1,844",4.8 out of 5 stars,(6)
101,Fastrack,Fastrack Stunners Quartz Analog White Dial Silver Metal Strap Watch for Guys - 3278SM04,"1,494",4.4 out of 5 stars,(314)
102,TIMEX,Analog Watch for Men Available in Multicolor Dial & Silver Stainless Steel Bracelet Band - Water Resistant Wrist Watches,"2,798",4.3 out of 5 stars,(48)
103,Casio,G-Shock GA-140-1A4DR Analog-Digital Black Dial Men Watch Black Resin Strap (G976),"8,347",4.5 out of 5 stars,(590)
104,Pebble,"Pebble Hive 1.39"" Octa Display Smartwatch | BT Calling | Multi Sports Modes | Sleep Monitoring | Health Suite | Customizable Watch Faces | in-Built Games & World Clock","1,999",3.8 out of 5 stars,(294)
105,Fossil,Neutra Analog Green Dial Men's Watch-FS5963,"12,995",4.7 out of 5 stars,(62)
106,Fire-Boltt,"Fire-Boltt Axiom Smart Watch – 1.43"" AMOLED Display, Health & Fitness Tracking, Always-On Screen, Wireless Charging, Rotating Crown, Bluetooth Calling, Metal Case Smart Watch for Man & Woman- Black","2,499",4.0 out of 5 stars,(595)
107,ORSGA,"TITON Analog Business Casual Stainless Steel Strap Decorative Subdials Watch for Men, Stylish Waterproof Wrist Watch","2,949",5.0 out of 5 stars,(2)
108,Daniel Hechter,Paris Bercy Collection Modern Multi Functional Watch for Men with Square Dial and Silicon Band-DHM1001,"2,780",4.3 out of 5 stars,(509)
109,Fire-Boltt,"Fire-Boltt Newly Launched Phoenix Ultra Blaze Luxury Stainless Steel, Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Silver)","1,099",3.8 out of 5 stars,(5K)
110,Fire-Boltt,"Fire-Boltt Talk Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker (Talk, Black)",999,4.0 out of 5 stars,(58.3K)
111,Carlington,"Digital Sports Watch, Dual Time, Alarm, Calendar, Stopwatch, Water-Resistant, Shock-Resistant, Back Light Display. The Perfect Watch for Men - CT 2106",999,4.0 out of 5 stars,(45)
112,Titan,Titan Classique Slimline Quartz Analog with Date Anthracite Dial Anthracite Stainless Steel Strap Watch for Men - NT90142QM02,"10,693",4.2 out of 5 stars,(88)
113,Titan,Titan Neo Splash Quartz Multifunction Black Dial Brown Stainless Steel Strap Watch for Men - NT1805QM05,"7,795",4.4 out of 5 stars,(144)
114,Titan,Titan Neo Analog Black Dial Men's Watch NM1733KM01/NN1733KM01,"5,745",4.3 out of 5 stars,(924)
115,Armani Exchange,Armani Exchange Mens Hampton Stainless Steel Chronograph Watch - AX2164 (Black_Free Size),"17,845",4.4 out of 5 stars,(1.5K)
116,Titan,Titan Phoenix Skeletal Automatic Analog with Gun Dial Brown Leather Strap Watch for Men - 90223WL01,"17,995",4.3 out of 5 stars,(22)
117,Noise,"Noise Pro 6 Max Smart Watch:Intelligent AI, Endless AI Watch Faces, AI Companion, 1.96” AMOLED, Stainless Steel Build, Built-in GPS, 5 ATM, EN2 Processor, for iOS & Android(Pure Titanium)","7,999",4.0 out of 5 stars,(22.3K)
